product_title,product_page_url,full_price,product_description,brand,category,competence_date,image_url
The North Face Men's Etip Glove - Macy's,https://www.macys.com/shop/product/the-north-face-mens-etip-glove?ID=5860098,$45.00,"The North Face touchscreen-compatible, four-way stretch fleece glove is a runner's favorite: It provides full-palm conductivity for all your touchscreen devices.",The North Face,"Men's Clothing & Accessories, Gloves",2024-12-21 21:57:05.049671,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/17799600_fpx.tif?$filterlrg$&wid=327
Black Widow V4 Full Size - Wired Mechanical Green Switch Gaming Keyboard - Black - Macy's,https://www.macys.com/shop/product/black-widow-v4-full-size-wired-mechanical-green-switch-gaming-keyboard-black?ID=17647804,,"The keyboard offers precise inputs with tactile feedback, 2-Side Under glow and Per-Key Lighting for immersion, and features 6 macro keys, a magnetic plush leatherette wrist rest, double shot ABS keycaps, and a multi-function roller with 4 media keys for easy control.",Razer,Electronics,2024-12-21 21:57:16.864133,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/26798307_fpx.tif?$filterlrg$&wid=327
New York Jets 12 Oz Tie-Dye Slim Can Holder - Macy's,https://www.macys.com/shop/product/new-york-jets-12-oz-tie-dye-slim-can-holder?ID=16641936,$43.99,"Keep your beverage close by during the game day festivities in this New York Jets slim can holder. It features a striking tie-dye design in the team colors to really help you show your love for your squad. Made with a strong exterior, this accessory is sure to keep your favorite drink secure for proper enjoyment on game day.",Memory Company,"Kitchen & Dining, Kitchen Gadgets & Utensils",2024-12-21 21:57:20.685425,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/25369605_fpx.tif?$filterlrg$&wid=327
"Jo Malone London Limited-Edition English Pear & Freesia Home Scented Candle, 7.1 oz., Created for Macy's - Macy's",https://www.macys.com/shop/product/jo-malone-london-limited-edition-english-pear-freesia-home-scented-candle-7-oz.-created-for-macys?ID=19710909,$82.00,"Fill the room with orchards steeped in golden sunshine, warming the russet curves of luscious pears. Indulge in the enchanting aroma of this holiday-edition English Pear & Freesia Home Scented Candle. Perfectly crafted to elevate your festive gatherings, this luxurious candle captures the essence of ripe, juicy pears intertwined with the delicate floral notes of fresh freesia.",Jo Malone London,"Home Decor, Candles & Home Fragrance",2024-12-21 21:57:46.647456,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/30030786_fpx.tif?$filterlrg$&wid=327
Car and Driver APPLE MFI CERTIFIED PREMIUM 4 PACK CABLE - Macy's,https://www.macys.com/shop/product/car-driver-apple-mfi-certified-premium-4-pack-cable?ID=20648566,$49.99,"Protect your Apple devices by charging with accessories specifically certified for use with the iPhone series. Get four cables in one pack and never again search the house for a charging cable. Engineered with reinforced materials, our rugged design is engineered to stand the test of time.",Car and Driver,Electronics,2024-12-21 21:57:50.493355,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31082198_fpx.tif?$filterlrg$&wid=327
Outerstuff Big Boys and Girls Tampa Bay Lightning Alternate Premier Jersey - Macy's,https://www.macys.com/shop/product/outerstuff-big-boys-girls-tampa-bay-lightning-alternate-premier-jersey?ID=18676331,$89.99,"Let your young fans feel like they're part of the action with this Tampa Bay Lightning Alternate Premier Jersey. This jersey is inspired by the jerseys the Bolts wear on the ice, so your kiddo can feel like they're always in the game. The breathable polyester design will keep them comfortable all game long.",Outerstuff,Sports Fan Shop,2024-12-21 21:58:09.233704,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/28406489_fpx.tif?$filterlrg$&wid=327
"Tommy Bahama Home Cooling Knit Pillow, Standard/Queen - Macy's",https://www.macys.com/shop/product/tommy-bahama-home-cooling-knit-pillow-standard-queen?ID=20230151,$50.00,Bring freshness and comfort to your bed with this standard/queen cooling knit pillow from Tommy Bahama. The pillow's polyester and nylon cover features a hexagonal knit pattern that helps you feel cooler as you sleep.,Tommy Bahama Home,"Bed & Bath, Bed Pillows",2024-12-21 21:58:12.412813,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/30707427_fpx.tif?$filterlrg$&wid=327
"City Studios Juniors' Sequin-Corset Tie Shoulder Layered-Skirt Gown, Created for Macy's - Macy's",https://www.macys.com/shop/product/city-studios-juniors-sequin-corset-layered-skirt-gown-created-for-macys?ID=19912197,$159.00,"A subtly sparkled corset top lends a chic style to this City Studios gown, whilst a layered skirt adds a an edgier finish.",City Studios,"Juniors', Dresses",2024-12-21 21:58:39.350577,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/30826029_fpx.tif?$filterlrg$&wid=327
True Religion Women's Side Zip Cargo Big T Jeans - Macy's,https://www.macys.com/shop/product/true-religion-womens-side-zip-cargo-big-t-jeans?ID=20104233,$199.00,"Go cargo with the Big T Cargo Pant. This relaxed fit women's cargo pant is detailed with shiny nickel hardware and tonal Big T stitching. Finished with hip pockets, back flap pockets, and oversized.",True Religion,"Women's Clothing, Shoes & Accessories, Jeans",2024-12-21 21:59:49.942105,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/30799488_fpx.tif?$filterlrg$&wid=327
Nike Toddler Girls Swoosh Charm Graphic Short-Sleeve Cotton T-Shirt - Macy's,https://www.macys.com/shop/product/nike-toddler-girls-swoosh-charm-graphic-short-sleeve-cotton-t-shirt?ID=20047199,$15.00(25% off),"Showcasing a chrome Swoosh logo, this Nike T-shirt is absolutely charm-ing. It's made of soft cotton jersey in a classic cut with a tagless crewneck for a comfy fit.",Nike,"Kids, Activewear",2024-12-21 21:59:53.194936,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/29841273_fpx.tif?$filterlrg$&wid=327
